Priority,Subject,TopicName,TopicPath,TotalQuestions,IncludedQuestions,SupportRate,IsStub,Status,Note,UpdatedAt
1,臨床生理學與病理學,消化道病理學,臨床生理學與病理學/_topics/消化道病理學.md,19,18,0.9474,False,Pending,,
1,臨床生理學與病理學,肝、膽、胰系統病理學,臨床生理學與病理學/_topics/肝、膽、胰系統病理學.md,19,18,0.9474,False,Pending,,
1,生物化學與臨床生化學,生殖內分泌學,生物化學與臨床生化學/_topics/生殖內分泌學.md,18,17,0.9444,False,Pending,,
1,臨床生理學與病理學,心電圖學：傳導障礙與阻斷,臨床生理學與病理學/_topics/心電圖學：傳導障礙與阻斷.md,18,17,0.9444,False,Pending,,
1,臨床血清免疫學與臨床病毒學,細菌與其他病原體的血清學診斷,臨床血清免疫學與臨床病毒學/_topics/細菌與其他病原體的血清學診斷.md,18,17,0.9444,False,Pending,,
1,生物化學與臨床生化學,維生素的分類與功能,生物化學與臨床生化學/_topics/維生素的分類與功能.md,17,16,0.9412,False,Pending,,
1,臨床血清免疫學與臨床病毒學,器官專一性自體免疫疾病,臨床血清免疫學與臨床病毒學/_topics/器官專一性自體免疫疾病.md,16,15,0.9375,False,Pending,,
1,臨床血清免疫學與臨床病毒學,細胞激素與趨化素,臨床血清免疫學與臨床病毒學/_topics/細胞激素與趨化素.md,16,15,0.9375,False,Pending,,
1,臨床生理學與病理學,呼吸系統病理學,臨床生理學與病理學/_topics/呼吸系統病理學.md,15,14,0.9333,False,Pending,,
1,臨床血液學與血庫學,後天性凝血功能異常,臨床血液學與血庫學/_topics/後天性凝血功能異常.md,15,14,0.9333,False,Pending,,
1,生物化學與臨床生化學,層析與電泳分離技術,生物化學與臨床生化學/_topics/層析與電泳分離技術.md,14,13,0.9286,False,Pending,,
1,生物化學與臨床生化學,懷孕內分泌與產前篩檢,生物化學與臨床生化學/_topics/懷孕內分泌與產前篩檢.md,14,13,0.9286,False,Pending,,
1,生物化學與臨床生化學,臨床質譜分析技術,生物化學與臨床生化學/_topics/臨床質譜分析技術.md,14,13,0.9286,False,Pending,,
1,臨床生理學與病理學,腫瘤學總論：命名、良惡性區分與轉移,臨床生理學與病理學/_topics/腫瘤學總論：命名、良惡性區分與轉移.md,14,13,0.9286,False,Pending,,
1,臨床血液學與血庫學,紅血球酶病變,臨床血液學與血庫學/_topics/紅血球酶病變.md,14,13,0.9286,False,Pending,,
1,臨床血液學與血庫學,纖維蛋白溶解系統,臨床血液學與血庫學/_topics/纖維蛋白溶解系統.md,13,12,0.9231,False,Pending,,
1,臨床血液學與血庫學,新生兒溶血症與捐血作業,臨床血液學與血庫學/_topics/新生兒溶血症與捐血作業.md,12,11,0.9167,False,Pending,,
1,臨床血液學與血庫學,海洋性貧血,臨床血液學與血庫學/_topics/海洋性貧血.md,12,11,0.9167,False,Pending,,
1,臨床生理學與病理學,男性生殖系統病理學,臨床生理學與病理學/_topics/男性生殖系統病理學.md,11,10,0.9091,False,Pending,,
1,臨床血液學與血庫學,免疫性溶血性貧血,臨床血液學與血庫學/_topics/免疫性溶血性貧血.md,11,10,0.9091,False,Pending,,
1,臨床血清免疫學與臨床病毒學,其他全身性自體免疫疾病,臨床血清免疫學與臨床病毒學/_topics/其他全身性自體免疫疾病.md,11,10,0.9091,False,Pending,,
1,微生物學與臨床微生物學,奈瑟氏菌屬與相關菌種,微生物學與臨床微生物學/_topics/奈瑟氏菌屬與相關菌種.md,10,9,0.9000,False,Pending,,
1,臨床血液學與血庫學,抗球蛋白試驗,臨床血液學與血庫學/_topics/抗球蛋白試驗.md,10,9,0.9000,False,Pending,,
1,臨床血液學與血庫學,血液學自動化分析與儀器原理,臨床血液學與血庫學/_topics/血液學自動化分析與儀器原理.md,10,9,0.9000,False,Pending,,
1,生物化學與臨床生化學,臨床免疫分析技術,生物化學與臨床生化學/_topics/臨床免疫分析技術.md,9,8,0.8889,False,Pending,,
1,臨床血液學與血庫學,骨髓分化不良症候群 (MDS),臨床血液學與血庫學/_topics/骨髓分化不良症候群 (MDS).md,9,8,0.8889,False,Pending,,
1,臨床血液學與血庫學,Rh血型系統,臨床血液學與血庫學/_topics/Rh血型系統.md,8,7,0.8750,False,Pending,,
1,臨床血液學與血庫學,非免疫性溶血性貧血,臨床血液學與血庫學/_topics/非免疫性溶血性貧血.md,8,7,0.8750,False,Pending,,
1,醫學分子檢驗學與臨床鏡檢學,染色體異常與細胞遺傳學檢測,醫學分子檢驗學與臨床鏡檢學/_topics/染色體異常與細胞遺傳學檢測.md,8,7,0.8750,False,Pending,,
1,臨床血清免疫學與臨床病毒學,補體系統,臨床血清免疫學與臨床病毒學/_topics/補體系統.md,5,4,0.8000,False,Pending,,
0,臨床生理學與病理學,呼吸生理學：肺功能測試（PFT）,臨床生理學與病理學/_topics/呼吸生理學：肺功能測試（PFT）.md,90,90,1.0000,False,Completed,Deployed successfully,2026-07-01 21:56
0,臨床血液學與血庫學,白血球生成、功能與良性疾患,臨床血液學與血庫學/_topics/白血球生成、功能與良性疾患.md,87,87,1.0000,False,Completed,Deployed successfully,2026-07-01 22:13
0,醫學分子檢驗學與臨床鏡檢學,尿液物理與化學分析,醫學分子檢驗學與臨床鏡檢學/_topics/尿液物理與化學分析.md,78,78,1.0000,False,Completed,Deployed successfully,2026-07-01 22:05
0,微生物學與臨床微生物學,抗生素感受性試驗 (AST),微生物學與臨床微生物學/_topics/抗生素感受性試驗 (AST).md,71,71,1.0000,False,Completed,Deployed successfully,2026-07-01 21:12
0,臨床血清免疫學與臨床病毒學,病毒學總論與實驗室診斷,臨床血清免疫學與臨床病毒學/_topics/病毒學總論與實驗室診斷.md,70,70,1.0000,False,Completed,Deployed successfully,2026-07-01 23:13
0,臨床生理學與病理學,神經生理學：腦波（EEG）與睡眠生理,臨床生理學與病理學/_topics/神經生理學：腦波（EEG）與睡眠生理.md,68,68,1.0000,False,Completed,Deployed successfully,2026-07-01 23:19
0,生物化學與臨床生化學,血漿蛋白質功能與電泳分析,生物化學與臨床生化學/_topics/血漿蛋白質功能與電泳分析.md,64,64,1.0000,False,Completed,Deployed successfully,2026-07-01 23:04
0,生物化學與臨床生化學,脂質、脂蛋白代謝與運輸,生物化學與臨床生化學/_topics/脂質、脂蛋白代謝與運輸.md,63,63,1.0000,False,Completed,Deployed successfully,2026-07-03 15:02
0,醫學分子檢驗學與臨床鏡檢學,分子檢驗檢體處理與品管,醫學分子檢驗學與臨床鏡檢學/_topics/分子檢驗檢體處理與品管.md,62,62,1.0000,False,Completed,Deployed successfully,2026-07-01 23:09
0,生物化學與臨床生化學,非蛋白氮化合物與腎功能評估,生物化學與臨床生化學/_topics/非蛋白氮化合物與腎功能評估.md,61,61,1.0000,False,Completed,Deployed successfully,2026-07-03 15:07
0,臨床生理學與病理學,心電圖學：基礎原理、導程與波形判讀,臨床生理學與病理學/_topics/心電圖學：基礎原理、導程與波形判讀.md,61,61,1.0000,False,Completed,Deployed successfully,2026-07-03 14:53
0,臨床血清免疫學與臨床病毒學,T細胞生物學,臨床血清免疫學與臨床病毒學/_topics/T細胞生物學.md,56,56,1.0000,False,Completed,Deployed successfully,2026-07-04 15:22
0,微生物學與臨床微生物學,特定部位感染與常見病原菌,微生物學與臨床微生物學/_topics/特定部位感染與常見病原菌.md,55,55,1.0000,False,Completed,Deployed successfully,2026-07-01 22:27
0,微生物學與臨床微生物學,黴漿菌、披衣菌與立克次體,微生物學與臨床微生物學/_topics/黴漿菌、披衣菌與立克次體.md,54,54,1.0000,False,Completed,Deployed successfully,2026-07-01 22:48
0,臨床血清免疫學與臨床病毒學,疱疹病毒科 (Herpesviridae),臨床血清免疫學與臨床病毒學/_topics/疱疹病毒科 (Herpesviridae).md,54,54,1.0000,False,Completed,Deployed successfully,2026-07-04 00:17
0,微生物學與臨床微生物學,微生物培養基：種類、原理與應用,微生物學與臨床微生物學/_topics/微生物培養基：種類、原理與應用.md,53,53,1.0000,False,Completed,Deployed successfully,2026-07-03 14:49
0,臨床生理學與病理學,血液氣體分析與酸鹼平衡,臨床生理學與病理學/_topics/血液氣體分析與酸鹼平衡.md,52,52,1.0000,False,Completed,Deployed successfully,2026-07-06 12:08
0,臨床血液學與血庫學,凝血因子與凝血路徑,臨床血液學與血庫學/_topics/凝血因子與凝血路徑.md,51,51,1.0000,False,Completed,Deployed successfully,2026-07-05 16:06
0,醫學分子檢驗學與臨床鏡檢學,固態腫瘤分子病理學,醫學分子檢驗學與臨床鏡檢學/_topics/固態腫瘤分子病理學.md,48,48,1.0000,False,Completed,Deployed successfully,2026-07-03 16:33
0,臨床血清免疫學與臨床病毒學,肝炎病毒,臨床血清免疫學與臨床病毒學/_topics/肝炎病毒.md,47,47,1.0000,False,Completed,Deployed successfully,2026-07-05 18:41
0,醫學分子檢驗學與臨床鏡檢學,精液分析與懷孕試驗,醫學分子檢驗學與臨床鏡檢學/_topics/精液分析與懷孕試驗.md,46,46,1.0000,False,Completed,Deployed successfully,2026-07-05 14:10
0,臨床血清免疫學與臨床病毒學,正黏液與副黏液病毒科 (Orthomyxoviridae and Paramyxoviridae),臨床血清免疫學與臨床病毒學/_topics/正黏液與副黏液病毒科 (Orthomyxoviridae and Paramyxoviridae).md,45,45,1.0000,False,Completed,Deployed successfully,2026-07-05 17:34
0,醫學分子檢驗學與臨床鏡檢學,分子生物學核心原理,醫學分子檢驗學與臨床鏡檢學/_topics/分子生物學核心原理.md,45,45,1.0000,False,Completed,Deployed successfully,2026-07-02 14:05
0,微生物學與臨床微生物學,腸內菌科：鑑定通則與生化試驗,微生物學與臨床微生物學/_topics/腸內菌科：鑑定通則與生化試驗.md,44,44,1.0000,False,Completed,Deployed successfully,2026-07-03 14:55
0,生物化學與臨床生化學,胺基酸結構、特性與代謝異常,生物化學與臨床生化學/_topics/胺基酸結構、特性與代謝異常.md,44,44,1.0000,False,Completed,Deployed successfully,2026-07-05 18:03
0,生物化學與臨床生化學,臨床酵素學總論與動力學,生物化學與臨床生化學/_topics/臨床酵素學總論與動力學.md,44,44,1.0000,False,Completed,Deployed successfully,2026-07-05 18:06
0,臨床血液學與血庫學,血小板生理與功能檢測,臨床血液學與血庫學/_topics/血小板生理與功能檢測.md,44,44,1.0000,False,Completed,Deployed successfully,2026-07-05 18:10
0,臨床生理學與病理學,超音波學：物理原理與儀器操作,臨床生理學與病理學/_topics/超音波學：物理原理與儀器操作.md,42,42,1.0000,False,Completed,Deployed successfully,2026-07-05 17:37
0,臨床血清免疫學與臨床病毒學,其他DNA病毒,臨床血清免疫學與臨床病毒學/_topics/其他DNA病毒.md,42,42,1.0000,False,Completed,Deployed successfully,2026-07-05 17:51
0,生物化學與臨床生化學,糖尿病診斷與血糖監控,生物化學與臨床生化學/_topics/糖尿病診斷與血糖監控.md,41,41,1.0000,False,Completed,Deployed successfully,2026-07-05 18:22
0,臨床血清免疫學與臨床病毒學,先天性免疫系統,臨床血清免疫學與臨床病毒學/_topics/先天性免疫系統.md,41,41,1.0000,False,Completed,Deployed successfully,2026-07-05 19:23
0,醫學分子檢驗學與臨床鏡檢學,漿膜液分析,醫學分子檢驗學與臨床鏡檢學/_topics/漿膜液分析.md,41,41,1.0000,False,Completed,Deployed successfully,2026-07-05 17:59
0,臨床生理學與病理學,免疫病理學與自體免疫疾病,臨床生理學與病理學/_topics/免疫病理學與自體免疫疾病.md,39,39,1.0000,False,Completed,Deployed successfully,2026-07-05 18:48
0,微生物學與臨床微生物學,抗細菌藥物：作用機轉,微生物學與臨床微生物學/_topics/抗細菌藥物：作用機轉.md,38,38,1.0000,False,Completed,Deployed successfully,2026-07-05 15:33
0,臨床血清免疫學與臨床病毒學,移植免疫學與HLA配對,臨床血清免疫學與臨床病毒學/_topics/移植免疫學與HLA配對.md,38,38,1.0000,False,Completed,Deployed successfully,2026-07-05 17:41
0,醫學分子檢驗學與臨床鏡檢學,糞便常規與潛血檢查,醫學分子檢驗學與臨床鏡檢學/_topics/糞便常規與潛血檢查.md,38,38,1.0000,False,Completed,Deployed successfully,2026-07-05 16:18
0,臨床血液學與血庫學,紅血球生成、結構與代謝,臨床血液學與血庫學/_topics/紅血球生成、結構與代謝.md,37,37,1.0000,False,Completed,Deployed successfully,2026-07-05 19:16
0,醫學分子檢驗學與臨床鏡檢學,細菌與真菌分子鑑定與分型,醫學分子檢驗學與臨床鏡檢學/_topics/細菌與真菌分子鑑定與分型.md,37,37,1.0000,False,Completed,Deployed successfully,2026-07-05 17:45
0,醫學分子檢驗學與臨床鏡檢學,醫學原蟲學診斷,醫學分子檢驗學與臨床鏡檢學/_topics/醫學原蟲學診斷.md,37,37,1.0000,False,Completed,Deployed successfully,2026-07-05 16:10
0,臨床生理學與病理學,感染性疾病病理學,臨床生理學與病理學/_topics/感染性疾病病理學.md,36,36,1.0000,False,Completed,Deployed successfully,2026-07-05 18:26
0,醫學分子檢驗學與臨床鏡檢學,腦脊髓液分析,醫學分子檢驗學與臨床鏡檢學/_topics/腦脊髓液分析.md,36,36,1.0000,False,Completed,Deployed successfully,2026-07-05 16:21
0,微生物學與臨床微生物學,非發酵性革蘭氏陰性桿菌,微生物學與臨床微生物學/_topics/非發酵性革蘭氏陰性桿菌.md,35,35,1.0000,False,Completed,Deployed successfully,2026-07-05 16:00
0,臨床血清免疫學與臨床病毒學,疫苗學與佐劑,臨床血清免疫學與臨床病毒學/_topics/疫苗學與佐劑.md,35,35,1.0000,False,Completed,Deployed successfully,2026-07-05 21:41
0,臨床血液學與血庫學,白血球形態學與細胞化學染色,臨床血液學與血庫學/_topics/白血球形態學與細胞化學染色.md,34,34,1.0000,False,Completed,Deployed successfully,2026-07-05 18:38
0,臨床血液學與血庫學,血小板數量與功能異常疾病,臨床血液學與血庫學/_topics/血小板數量與功能異常疾病.md,34,34,1.0000,False,Completed,Deployed successfully,2026-07-05 19:41
0,醫學分子檢驗學與臨床鏡檢學,醫學蠕蟲學診斷,醫學分子檢驗學與臨床鏡檢學/_topics/醫學蠕蟲學診斷.md,34,34,1.0000,False,Completed,Deployed successfully,2026-07-05 16:14
0,醫學分子檢驗學與臨床鏡檢學,基因變異篩檢技術,醫學分子檢驗學與臨床鏡檢學/_topics/基因變異篩檢技術.md,33,33,1.0000,False,Completed,Deployed successfully,2026-07-05 17:16
0,臨床血清免疫學與臨床病毒學,黃病毒科與披膜病毒科 (Flaviviridae and Togaviridae),臨床血清免疫學與臨床病毒學/_topics/黃病毒科與披膜病毒科 (Flaviviridae and Togaviridae).md,32,32,1.0000,False,Completed,Deployed successfully,2026-07-05 21:34
0,醫學分子檢驗學與臨床鏡檢學,表觀遺傳學與蛋白質體學應用,醫學分子檢驗學與臨床鏡檢學/_topics/表觀遺傳學與蛋白質體學應用.md,32,32,1.0000,False,Completed,Deployed successfully,2026-07-01 22:59
0,微生物學與臨床微生物學,嗜血桿菌屬與其他苛求菌,微生物學與臨床微生物學/_topics/嗜血桿菌屬與其他苛求菌.md,31,31,1.0000,False,Completed,Deployed successfully,2026-07-05 17:22
0,生物化學與臨床生化學,腫瘤標記原理與臨床應用,生物化學與臨床生化學/_topics/腫瘤標記原理與臨床應用.md,31,31,1.0000,False,Completed,Deployed successfully,2026-07-05 20:29
0,生物化學與臨床生化學,醣類結構與基礎代謝,生物化學與臨床生化學/_topics/醣類結構與基礎代謝.md,31,31,1.0000,False,Completed,Deployed successfully,2026-07-05 19:13
0,臨床血液學與血庫學,抗凝血／抗血小板治療與血栓傾向,臨床血液學與血庫學/_topics/抗凝血／抗血小板治療與血栓傾向.md,31,31,1.0000,False,Completed,Deployed successfully,2026-07-05 17:55
